trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.5, 'e': 0.18637397603940997}",25,8,-13.54822158992898,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.18451952399298926}",20,14,-10.493870428643277,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.18268352405273466}",25,7,-61.00976999656888,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.1808657926171221}",25,5,-91.7680535578042,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",1
173,False,"{'a': 0.5, 'e': 0.17906614791149322}",25,16,-7.323510641201966,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17728440996987782}",20,10,18.095383509431418,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17552040061699686}",25,0,-42.64554392622178,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.17377394345044514}",25,0,18.512579995633132,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.17204486382305054}",20,7,-33.6785723936309,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.17033298882540943}",25,11,24.675858275635488,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1686381472685955}",20,10,16.964768420915355,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.1669601696670407}",35,13,29.842131993601576,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16529888822158653}",35,18,30.80519115585419,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16365413680270405}",20,0,-23.004371904340598,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
183,False,"{'a': 0.5, 'e': 0.16202575093388075}",25,14,20.221724650541198,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.16041356777517274}",30,20,-35.50151891039579,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
185,False,"{'a': 0.5, 'e': 0.15881742610692068}",20,12,14.948760670914407,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.1572371663136276}",30,19,23.511423146435487,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.1556726303679973}",20,8,-0.7035081897787445,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.1541236618151314}",25,0,16.112976198242524,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
189,False,"{'a': 0.5, 'e': 0.15259010575688386}",30,3,11.620500152784825,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.15107180883637084}",20,0,0.3858129851284404,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.14956861922263504}",35,4,45.02702460993064,"{0: 31, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.14808038659546244}",20,2,-47.791054732765105,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
193,False,"{'a': 0.5, 'e': 0.14660696213035015}",25,18,2.958019082191309,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.14514819848362373}",25,13,12.02597620270912,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.14370394977770293}",20,12,17.280688287877208,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.1422740715865136}",20,0,28.191826344610362,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
197,False,"{'a': 0.5, 'e': 0.140858420921045}",25,11,12.833822131490804,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.13945685621505094}",20,6,22.758988616309285,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.13806923731089282}",20,2,13.762502115423207,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.13669542544552385}",30,13,29.899207954031787,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,0,14.40623940132891,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
